product_id,product_name,category,price
101,Electronic Mini 101,CLOTHING,631.3
102,Furniture Premium 102,Furniture,295.14
103,Clothing Plus 103,electronics,223.3
104,Book Classic 104,Books,41.91
105,Sport Advanced 105,Sports,356.57
106,Electronic Pro 106,Electronics,79.23
107,Furniture Classic 107,Furniture,1161.11
108,Clothing Max 108,Clothing,122.84
109,Book Classic 109,Books,96.86
110,Sport Advanced 110,Sports,187.15
111,Electronic Max 111,Electronics,531.4
112,Furniture Classic 112,Furniture,285.47
113,Clothing Max 113,Clothing,294.48
114,Book Plus 114,Books,69.69
115,Sport Plus 115,Sports,100.93
116,Electronic Pro 116,Electronics,659.47
117,Furniture Mini 117,Furniture,946.4
118,Clothing Mini 118,Clothing,62.59
119,Book Max 119,,25.97
120,Sport Classic 120,Sports,160.21
121,Electronic Basic 121,Electronics,528.74
122,Furniture Pro 122,Furniture,392.8
123,Clothing Max 123,Clothing,228.94
124,Book Pro 124,Books,27.2
125,Sport Pro 125,Sports,76.78
126,Electronic Max 126,Electronics,428.28
127,Furniture Plus 127,Furniture,442.23
128,Clothing Basic 128,Clothing,285.73
129,Book Pro 129,Books,158.37
130,Sport Pro 130,Sports,463.16
131,Electronic Plus 131,Electronics,482.5
132,Furniture Classic 132,Furniture,1176.53
133,Clothing Pro 133,Clothing,95.32
134,Book Mini 134,Books,42.42
135,Sport Advanced 135,Sports,382.63
136,Electronic Pro 136,Electronics,442.45
137,Furniture Plus 137,CLOTHING,340.14
138,Clothing Pro 138,Clothing,251.98
139,Book Basic 139,Books,67.44
140,Sport Advanced 140,electronics,367.07
141,Electronic Max 141,Electronics,431.59
142,Furniture Pro 142,electronics,216.76
143,Clothing Advanced 143,Clothing,48.45
144,Book Classic 144,Books,172.63
145,Sport Mini 145,Sports,130.35
146,Electronic Plus 146,Electronics,125.93
147,Furniture Basic 147,Furniture,1350.53
148,Clothing Advanced 148,,170.82
149,Book Plus 149,electronics,130.14
150,Sport Classic 150,Sports,306.43
151,Electronic Basic 151,Electronics,628.26
152,Furniture Classic 152,Furniture,519.14
153,Clothing Advanced 153,Clothing,241.73
154,Book Classic 154,Books,132.34
155,Sport Max 155,Sports,119.46
156,Electronic Mini 156,Electronics,370.91
157,Furniture Classic 157,Furniture,730.86
158,Clothing Max 158,Clothing,71.05
159,Book Basic 159,Books,68.69
160,Sport Advanced 160,Sports,188.37
